Summary,Issue Type,Priority,Labels,Epic Link,Description,Acceptance Criteria,Phase,Story Points
"[Epic] CTOLens hybrid briefing engine",Epic,High,"ctolens,briefing,signals,recommendations",,"Ship the Signal → Recommendation → Executive Briefing pipeline behind feature flags. Includes briefing_pipeline.py CTOLens API routes dashboard panel share/PDF parity and pytest coverage. Separate from metrics enrichment scheduling work.","Epic accepted when hybrid engine is deployed to staging with flags on smoke-tested and documented in docs/HYBRID-BRIEFING-ENGINE.md",Epic,
"[Epic] CTOLens production release",Epic,High,"ctolens,release,devops,staging",,"Release unpushed CTOLens work (hybrid engine + metrics enrichment Phases 0-2) through staging to production with flag rollout and rollback plan.","Staging validated; production deploy complete; docs/backlog README reflects shipped state",Epic,
"[Epic] Portfolio health dashboard Phase 2",Epic,Medium,"portfolio,health,dashboard,history",,"Phase 2 of portfolio-health-dashboard.md: historical snapshots trends what-changed-since-last-check connector uptime and background jobs. Requires new persistence beyond live compute MVP.","Design approved; snapshot storage and at least one trend view shipped behind ENABLE_PORTFOLIO_DASHBOARD",Epic,
Enable CTOLens feature flags on staging,Story,High,"ctolens,staging,feature-flag,release","[Epic] CTOLens production release","Set ENABLE_CTOLENS_BRIEFING ENABLE_SIGNAL_ENGINE ENABLE_RECOMMENDATION_ENGINE on staging Railway service. Optionally ENABLE_CTOLENS_SCHEDULED_ENRICHMENT for schedule QA.","Staging /api/feature-flags returns true for ctolens flags; Overview CTOLens panel loads without errors",Release,2
Merge CTOLens stack and run CI on staging,Story,High,"ctolens,ci,release,staging","[Epic] CTOLens production release","Merge local master commits (hybrid pipeline + enrichment + CI) to staging branch. GitHub Actions pytest must pass.","staging branch green CI; staging app boots with Postgres; no regressions on login/workspaces",Release,3
Staging smoke test CTOLens briefing flow,Story,High,"ctolens,qa,staging,release","[Epic] CTOLens production release","Manual smoke: fast briefing live metrics refresh diagnostics share PDF workspace schedule save. Document results in ticket.","Fast and enriched runs succeed; header_summary updates; share/PDF exclude raw signals; run log populated",Release,5
Production deploy CTOLens with flag rollout,Story,High,"ctolens,production,release,railway","[Epic] CTOLens production release","Deploy master to production. Enable CTOLens flags incrementally. Define rollback: disable flags revert deploy.","Production serves CTOLens panel; flags documented in DEPLOYMENT.md; rollback steps verified",Release,5
Sync backlog docs with shipped state,Story,Low,"docs,backlog,release","[Epic] CTOLens production release","Update docs/backlog/README.md and plan checkboxes to match Jira Done status. Remove stale not-implemented language.","README and CTOLENS-METRICS-ENRICHMENT-PLAN status match production reality",Release,1
Signal engine staging validation,Story,High,"ctolens,signals,testing,staging","[Epic] CTOLens hybrid briefing engine","Validate signal engine against sample workspace: financial delivery portfolio signals fire correctly after enriched run. pytest test_signal_engine.py passes in CI.","Signals API returns expected categories; delivery signals only after fetch_metrics=true",Hybrid,3
Recommendation engine and feedback on staging,Story,High,"ctolens,recommendations,feedback,staging","[Epic] CTOLens hybrid briefing engine","Validate recommendations ranked from signals; feedback POST persists to workspace settings; Accept/Dismiss works in dashboard.","Recommendations API returns ranked actions; feedback visible on refresh; tests pass",Hybrid,3
Executive briefing panel QA,Story,High,"ctolens,briefing,ux,qa","[Epic] CTOLens hybrid briefing engine","QA Overview CTOLens Daily Briefing panel: executive summary top risks opportunities recommended actions projects requiring attention confidence block.","All sections render with real data; empty states handled; mobile layout acceptable",Hybrid,5
Share and PDF parity for CTOLens briefing,Story,Medium,"ctolens,export,share,pdf","[Epic] CTOLens hybrid briefing engine","Public share link and PDF export use normalize_briefing_for_export / briefing_resolver CTOLens path. No raw signals or diagnostics in exports.","Share URL and PDF contain executive sections only; matches dashboard narrative",Hybrid,3
Optional AI executive polish pilot,Story,Low,"ctolens,ai,feature-flag","[Epic] CTOLens hybrid briefing engine","Pilot ENABLE_AI_EXECUTIVE_BRIEFING on staging only. Verify deterministic truth guardrails restore ranked actions after LLM polish.","With flag on staging summary polishes without changing do_first actions; flag off unchanged",Hybrid,5
Wire on_import to enriched pipeline after CSV import,Story,Medium,"ctolens,import,enrichment,phase-3","[Epic] CTOLens metrics enrichment & nimble briefing UX","When workspace.settings.ctolens_schedule.on_import is true run refresh_workspace_ctolens_briefing with fetch_metrics=true after successful import. Default remains fast only.","on_import false: fast briefing only; on_import true: enriched run triggered; import response indicates run type",Phase 3,3
Configurable metrics staleness threshold,Story,Medium,"ctolens,enrichment,ux,phase-3","[Epic] CTOLens metrics enrichment & nimble briefing UX","Replace hard-coded METRICS_STALE_DAYS=7 with workspace setting or env var (e.g. 24h/7d). assess_extended_staleness uses configurable value.","Threshold configurable; banner reflects custom age; default 7 days unchanged for existing workspaces",Phase 3,2
Always-visible Fast and Live refresh on CTOLens panel,Story,Medium,"ctolens,ux,enrichment,phase-3","[Epic] CTOLens metrics enrichment & nimble briefing UX","Show Update briefing (fast) and Refresh live metrics buttons on CTOLens panel always not only when staleness banner appears.","Both buttons visible on Overview CTOLens panel; fast completes quickly; live shows progress message",Phase 3,2
Surface diagnostics panel in CTOLens briefing body,Story,Medium,"ctolens,ux,diagnostics,phase-3","[Epic] CTOLens metrics enrichment & nimble briefing UX","Ensure renderCtolenBriefingPanelBody appends collapsed Signal and connector details from API diagnostics on every CTOLens load not legacy path only.","Diagnostics visible after fast and enriched runs; shows connector_runs and signal counts; absent from share/PDF",Phase 3,2
Integrate Setup navigation to workspace settings,Story,Low,"ctolens,ux,workspace-settings","[Epic] CTOLens metrics enrichment & nimble briefing UX","Dashboard Setup opens /workspace/{id}/settings with Back to Dashboard. Toolbar Setup button always visible for single-workspace users.","Setup navigates to full settings page; schedule card and connectors accessible; no dead inline-only path",Phase 3,1
Manual QA enrichment acceptance checklist,Story,High,"ctolens,qa,enrichment","[Epic] CTOLens metrics enrichment & nimble briefing UX","Execute plan success criteria: login no connector HTTP; fast under 5s; live updates header; diagnostics not in PDF; unconfigured connectors omitted from diagnostics.","Checklist signed off in ticket; any failures filed as bugs",Phase 3,3
Design metric snapshot schema,Story,High,"portfolio,history,schema,phase-2","[Epic] Portfolio health dashboard Phase 2","Design additive Postgres storage for portfolio metric snapshots (health score burn connector status). No breaking changes to assignments table.","Schema doc + migration plan reviewed; idempotent migration in canonical_schema or store",Phase 2,5
Background snapshot job for portfolio trends,Story,High,"portfolio,jobs,history,phase-2","[Epic] Portfolio health dashboard Phase 2","Scheduled or on-demand job writes portfolio snapshots. Feature-flagged. Railway cron or internal endpoint pattern consistent with CTOLens enrichment.","Snapshots persist; API can read last N; job failures logged without breaking dashboard load",Phase 2,8
What changed since last check UI,Story,Medium,"portfolio,ux,history,phase-2","[Epic] Portfolio health dashboard Phase 2","Overview section showing assignment and health score deltas since previous snapshot or last login.","User sees meaningful change summary when snapshots exist; graceful empty state when no history",Phase 2,5
Burn trajectory and runway views,Story,Medium,"portfolio,financial,history,phase-2","[Epic] Portfolio health dashboard Phase 2","Trend views for monthly burn vs target using snapshot history. Runway estimate when data supports it.","Chart or table shows burn direction; requires snapshot epic dependency",Phase 2,5
Connector uptime history,Story,Low,"portfolio,connectors,history,phase-2","[Epic] Portfolio health dashboard Phase 2","Track connector test/sync outcomes over time per assignment. Surface in Portfolio Details or connector health panel.","History list or trend for connector status; live test still works without history",Phase 2,5
